note_name,start_time,duration,velocity
B5,87571,19,105
A#5,87600,79,106
A5,87687,36,108
G5,87729,16,102
F#5,87762,29,103
D#5,87797,49,96
B4,87856,52,89
F5,87946,53,104
G5,88004,48,98
A5,88062,32,102
G6,88106,77,116
B5,88208,68,104
A5,89137,96,117
B5,89243,140,120
B5,89394,92,124
D6,89499,40,105
F#5,89546,34,94
A#5,89590,83,113
B5,89674,79,118
B5,89759,98,117
B5,89938,156,108
E6,90114,277,109
D6,90416,122,104
F#5,90980,55,105
B5,91041,96,96
D6,91151,114,110
E6,91275,67,108
B5,91351,59,88
C6,91438,173,105
A5,91627,116,110
G5,91778,174,91
G5,92693,95,123
A#5,92794,76,118
C6,92882,118,119
C#6,93014,37,106
C#6,93069,41,114
D6,93128,87,116
D#6,93228,90,107
F#6,93331,62,109
C#6,93451,86,96
G#6,93917,158,105
D6,94094,87,104
G#6,94647,722,109
G#5,95411,37,99
G5,95464,55,98
G#5,95529,74,103
G#6,95612,165,92
D6,96280,132,112
B5,96422,73,99
C6,96514,66,100
G6,96589,183,112
C6,96777,101,84
G#6,96878,222,105
F#6,97451,98,117
F6,97552,133,120
F#6,98145,816,9
D#6,98980,115,115
D6,99098,52,111
D#6,99169,105,112
F#6,99277,347,116
D#6,99636,78,119
D6,99727,76,113
D#6,99805,108,116
G6,99925,228,121
F#6,100158,56,111
F6,100231,67,106
D6,100331,25,107
C#6,100367,61,109
C6,100444,60,102
B5,100515,109,101
A#5,100659,62,78
G#5,100748,72,82
