,note_name,start_time,duration,velocity,chord
83,D5,9.356291390728476,0.1509933774834437,107,G-7
84,A5,9.56026490066225,0.16158940397350993,114,G-7
85,F#5,9.73774834437086,0.11125827814569536,110,G-7
86,G5,9.870198675496688,0.08741721854304636,103,G-7
87,A5,9.981456953642383,0.08211920529801324,112,G-7
88,A#5,10.121854304635761,0.026490066225165563,110,Abo7
89,B5,10.169536423841059,0.10596026490066225,109,Abo7
90,G5,10.296688741721855,0.06357615894039735,114,Abo7
91,G#5,10.368211920529802,0.07947019867549669,106,Abo7
92,F5,10.474172185430465,0.07947019867549669,111,Abo7
93,D5,10.609271523178808,0.10860927152317881,102,Abo7
94,B4,10.765562913907285,0.10860927152317881,101,Abo7
95,C5,11.487417218543047,0.11125827814569536,108,A-7
96,C#5,11.605298013245033,0.059602649006622516,103,A-7
97,C5,11.675496688741724,0.059602649006622516,99,A-7
98,B4,11.735099337748345,0.0847682119205298,104,A-7
99,A#4,11.841059602649008,0.12980132450331125,109,A-7
100,A4,11.989403973509933,0.09271523178807947,109,A-7
101,G4,12.100662251655631,0.11125827814569536,106,D-7
102,A4,12.255629139072848,0.08874172185430464,110,D-7
103,B4,12.350993377483444,0.12317880794701987,101,D-7
104,C5,12.480794701986756,0.08874172185430464,102,D-7
105,E5,12.5841059602649,0.10728476821192053,123,D-7
106,C#5,12.728476821192054,0.12317880794701987,111,D-7
107,D5,12.86225165562914,0.10066225165562914,106,D-7
108,E5,12.965562913907284,0.1152317880794702,110,D-7
109,F5,13.083443708609273,0.12980132450331125,111,G7
110,G5,13.213245033112585,0.11125827814569536,109,G7
111,E5,13.327152317880795,0.1152317880794702,106,G7
112,D#5,13.467549668874174,0.10331125827814569,101,G7
113,D5,13.589403973509935,0.12582781456953643,111,G7
114,E5,13.725827814569538,0.10066225165562914,113,G7
115,F5,13.833112582781457,0.10066225165562914,98,G7
116,G5,13.948344370860926,0.0,85,G7
117,A5,14.045033112582782,0.1562913907284768,117,G-7
118,C5,14.226490066225168,0.09271523178807947,104,G-7
119,B4,14.337748344370862,0.10728476821192053,98,G-7
120,A4,14.455629139072848,0.11125827814569536,98,G-7
121,A#4,14.577483443708608,0.1152317880794702,95,G-7
122,G5,14.703311258278145,0.10066225165562914,105,G-7
123,E5,14.814569536423843,0.14834437086092717,96,G-7
124,C5,14.984105960264902,0.06622516556291391,90,G-7
125,F5,15.056953642384105,0.10728476821192053,110,C7
126,D5,15.182781456953641,0.09668874172185431,108,C7
127,A#4,15.316556291390729,0.10331125827814569,100,C7
128,G4,15.419867549668876,0.10331125827814569,97,C7
129,E5,15.694039735099338,0.10331125827814569,112,C7
130,D5,15.797350993377485,0.08874172185430464,94,C7
131,C#5,15.923178807947021,0.10331125827814569,100,C7
132,C5,16.03708609271523,0.1152317880794702,105,Fj7
133,D5,16.189403973509936,0.07417218543046358,103,Fj7
134,F5,16.288741721854304,0.17880794701986755,106,Fj7
135,A5,16.552317880794703,0.17880794701986755,116,Fj7
136,D6,16.756291390728478,0.1827814569536424,114,Fj7
137,C#6,16.957615894039737,0.06225165562913907,108,Fj7
138,D6,17.03841059602649,0.27549668874172184,116,Fj7
139,C6,17.332450331125827,0.08874172185430464,112,Fj7
140,C#6,17.442384105960265,0.051655629139072845,97,Fj7
141,C6,17.496688741721854,0.06225165562913907,106,Fj7
142,A5,17.56158940397351,0.12980132450331125,111,Fj7
143,F5,17.698013245033113,0.09668874172185431,100,Fj7
144,D5,17.835761589403972,0.10066225165562914,94,Fj7
145,C5,17.950993377483446,0.0,98,Fj7
146,G5,18.035761589403975,0.17483443708609273,112,Em7b5
147,G5,18.666225165562913,0.059602649006622516,94,Em7b5
148,F#5,18.725827814569538,0.06225165562913907,106,Em7b5
149,E5,18.802649006622516,0.10066225165562914,102,Em7b5
150,D5,18.936423841059604,0.10331125827814569,99,Em7b5
151,C#5,19.064900662251656,0.0847682119205298,97,A79b
152,E5,19.156291390728477,0.1152317880794702,105,A79b
153,G5,19.296688741721855,0.09668874172185431,91,A79b
154,A5,19.40794701986755,0.10066225165562914,95,A79b
155,C6,19.52980132450331,0.12317880794701987,114,A79b
156,B5,19.667549668874173,0.11920529801324503,110,A79b
157,A#5,19.797350993377485,0.10728476821192053,109,A79b
158,G#5,19.90728476821192,0.1152317880794702,114,A79b
159,A5,20.03708609271523,0.1152317880794702,114,D-7
160,F5,20.189403973509936,0.08211920529801324,108,D-7
161,C#5,20.290066225165564,0.1456953642384106,102,D-7
162,G5,20.498013245033114,0.08874172185430464,106,D-7
163,G#5,20.59337748344371,0.16026490066225166,109,D-7
164,G5,20.760264900662253,0.14834437086092717,112,D-7
165,F#5,20.929801324503313,0.09271523178807947,106,D-7
166,F5,21.043708609271523,0.09668874172185431,102,Bm7b5
167,D5,21.150993377483445,0.1152317880794702,99,Bm7b5
168,F5,21.705960264900664,0.059602649006622516,105,Bm7b5
169,A#5,21.780132450331127,0.08874172185430464,115,Bm7b5
170,A5,21.894039735099337,0.14172185430463577,121,Bm7b5
171,G#5,22.03841059602649,0.09271523178807947,112,E7
172,C6,22.137748344370863,0.09668874172185431,115,E7
173,G5,22.252980132450332,0.12582781456953643,104,E7
174,F5,22.37880794701987,0.10728476821192053,105,E7
175,E5,22.496688741721854,0.11125827814569536,104,E7
176,D5,22.626490066225166,0.12582781456953643,101,E7
177,B4,22.781456953642383,0.08874172185430464,92,E7
178,C5,22.880794701986755,0.09271523178807947,98,E7
179,C#5,23.010596026490067,0.10728476821192053,113,A7
180,E5,23.150993377483445,0.08874172185430464,98,A7
181,G5,23.250331125827817,0.1152317880794702,114,A7
182,A5,23.372185430463578,0.1152317880794702,116,A7
183,A#5,23.50596026490066,0.09271523178807947,110,A7
184,C6,23.605298013245033,0.04768211920529802,102,A7
185,A#5,23.663576158940398,0.07417218543046358,111,A7
186,A5,23.756291390728478,0.1152317880794702,117,A7
187,G5,23.88609271523179,0.09271523178807947,112,A7
188,F#5,23.989403973509933,0.11920529801324503,107,A7
189,C5,24.227814569536424,0.1456953642384106,108,D7
190,D#5,24.388079470198676,0.08874172185430464,111,D7
191,D5,24.483443708609272,0.1152317880794702,96,D7
192,C5,24.650331125827815,0.08211920529801324,97,D7
193,D5,24.735099337748345,0.14834437086092717,112,D7
194,C5,25.12185430463576,0.1337748344370861,112,G-7
195,C#5,25.280794701986757,0.04370860927152318,97,G-7
196,C5,25.33907284768212,0.07019867549668875,101,G-7
197,A4,25.40927152317881,0.0847682119205298,100,G-7
198,A#4,25.49403973509934,0.1827814569536424,109,G-7
199,F5,25.717880794701987,0.16688741721854305,115,G-7
200,G#5,25.89139072847682,0.11920529801324503,122,G-7
201,G5,26.021192052980133,0.12317880794701987,102,Abo7
202,F5,26.158940397350992,0.051655629139072845,105,Abo7
203,G5,26.235761589403975,0.1456953642384106,124,Abo7
204,E5,26.642384105960264,0.23841059602649006,94,A-7
205,C5,26.883443708609274,0.08211920529801324,95,A-7
206,D5,26.98675496688742,0.1827814569536424,101,A-7
207,A4,27.37748344370861,0.09668874172185431,109,D-7
208,A#4,27.488741721854307,0.11920529801324503,100,D-7
209,B4,27.61854304635762,0.09668874172185431,106,D-7
210,C5,27.73377483443709,0.12582781456953643,111,D-7
211,B4,27.880794701986755,0.10066225165562914,103,D-7
212,A#4,27.996026490066225,0.12317880794701987,100,D-7
213,A4,28.14039735099338,0.09668874172185431,105,G-7
214,G4,28.237086092715234,0.08211920529801324,93,G-7
215,F4,28.32980132450331,0.12317880794701987,101,G-7
216,E4,28.50066225165563,0.10066225165562914,105,G-7
217,G4,28.60794701986755,0.08211920529801324,95,G-7
218,A#4,28.711258278145696,0.1456953642384106,107,G-7
219,D5,28.875496688741723,0.1152317880794702,101,G-7
220,A4,29.09271523178808,0.12317880794701987,91,C7
221,C5,29.239735099337747,0.10331125827814569,107,C7
222,A#4,29.353642384105964,0.10066225165562914,107,C7
223,A4,29.487417218543047,0.10728476821192053,91,C7
224,C5,29.62384105960265,0.06622516556291391,94,C7
225,D5,29.696688741721854,0.14172185430463577,106,C7
226,C5,29.85695364238411,0.07417218543046358,110,C7
227,D5,29.96953642384106,0.04105960264900662,110,C7
228,D#5,30.017218543046358,0.09668874172185431,102,Eb7
229,C5,30.177483443708613,0.14834437086092717,100,Eb7
230,D5,30.344370860927153,0.39867549668874175,100,Eb7
231,D5,31.422516556291388,0.14834437086092717,112,D7
232,A#5,31.67417218543046,0.10066225165562914,120,D7
233,A#5,31.834437086092716,0.059602649006622516,114,D7
234,B5,31.919205298013242,0.07417218543046358,109,D7
235,A#5,32.082119205298014,0.7165562913907285,113,G-7
236,A#5,32.83576158940397,0.059602649006622516,110,G-7
237,B5,32.901986754966885,0.08211920529801324,107,G-7
238,A#5,33.06622516556291,0.1456953642384106,114,C7
239,G#5,33.23708609271523,0.07417218543046358,112,C7
240,F5,33.34039735099338,0.09668874172185431,113,C7
241,D#5,33.46622516556291,0.0781456953642384,107,C7
242,C#5,33.550993377483444,0.06622516556291391,101,C7
243,C5,33.62781456953642,0.059602649006622516,102,C7
244,B4,33.70860927152317,0.0847682119205298,102,C7
245,D5,33.793377483443706,0.12980132450331125,105,C7
246,C5,33.93774834437086,0.12980132450331125,105,C7
247,B4,34.078145695364235,0.10066225165562914,101,Fj7
248,A#4,34.193377483443705,0.08211920529801324,104,Fj7
249,G#4,34.30066225165562,0.09668874172185431,100,Fj7
250,A4,34.41854304635761,0.1205298013245033,102,Fj7
251,A#4,34.54172185430463,0.09801324503311258,95,Fj7
252,E5,34.65033112582781,0.12317880794701987,113,Fj7
253,G5,34.792052980132446,0.13774834437086092,121,Fj7
254,C5,35.50860927152318,0.12317880794701987,115,C7
255,D5,35.65033112582781,0.12980132450331125,112,C7
256,E5,35.79867549668874,0.09271523178807947,112,C7
257,G5,36.017218543046354,0.10331125827814569,116,Fj7
258,F5,36.141721854304635,0.13774834437086092,110,Fj7
259,E5,36.29801324503311,0.12980132450331125,112,Fj7
260,C5,36.51258278145695,0.08874172185430464,106,Fj7
261,D5,36.62251655629139,0.1152317880794702,112,Fj7
262,E5,36.75894039735099,0.11125827814569536,110,Fj7
263,G5,36.97748344370861,0.1152317880794702,113,Fj7
264,F5,37.09271523178808,0.16423841059602648,114,Fj7
265,E5,37.27549668874172,0.12317880794701987,114,Fj7
266,C5,37.50993377483444,0.09271523178807947,108,Fj7
267,D5,37.62119205298013,0.1337748344370861,104,Fj7
268,D#5,37.78013245033112,0.05562913907284768,109,Fj7
269,E5,37.846357615894036,0.2609271523178808,99,Fj7
270,B4,38.140397350993375,0.09271523178807947,99,Em7b5
271,D#5,38.33377483443709,0.12317880794701987,107,Em7b5
272,B4,38.602649006622514,0.10066225165562914,98,Em7b5
273,D5,38.85960264900662,0.10728476821192053,105,Em7b5
274,B4,39.12715231788079,0.1152317880794702,97,A79b
275,C5,39.260927152317876,0.10066225165562914,101,A79b
